1|1|Butter Chicken|250|NON-VEG|20|butter_chicken.png
2|1|Paneer Tikka|200|VEG|15|paneer_tikka.png
3|1|Veg Biryani|180|VEG|15|biryani.png
4|2|Masala Maggi|40|VEG|5|https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400
5|2|Hot Coffee|30|VEG|5|https://images.unsplash.com/photo-1541167760496-162955ed8a9f?w=400
6|3|Aloo Paratha|50|VEG|10|https://images.unsplash.com/photo-1626777553732-b05488184d0d?w=400
7|3|Egg Roll|60|NON-VEG|8|https://images.unsplash.com/photo-1626777553732-b05488184d0d?w=400
8|4|Chicken Shawarma|120|NON-VEG|10|https://images.unsplash.com/photo-1561651823-34feb02250e4?w=400
9|4|Cold Coffee|80|VEG|5|https://images.unsplash.com/photo-1541167760496-162955ed8a9f?w=400
10|4|French Fries|70|VEG|7|https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400
11|1|Garlic Naan|40|VEG|10|https://images.unsplash.com/photo-1589187151003-0dd361af142a?w=400
12|2|Cheese Sandwich|60|VEG|8|https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400
13|3|Dal Makhani|150|VEG|20|https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=400
